Id,Company,CPU,RAM,Bus,SSD,HDD,GPU_name,GPU_ram,Screen,resolution,Weight(kg),Price(dong)
72,HP,Intel Core i5-1135G7,8 GB,3200 MHz,256,0,On board,0,13.3, 1920 x 1080,1.25,22390000
73,Acer,Intel Core i5-10300H,8 GB,2933 MHz,512,0,NVIDIA GeForce GTX 1650Ti,4,15.6, 1920 x 1080,2.3,22390000
74,Acer,Intel Core i5-10300H,8 GB,2666 MHz,512,0,NVIDIA GeForce GTX 1650Ti,4,15.6, 1920 x 1080,2.3,22390000
75,Asus,Intel Core i5-10300H,8 GB,2933 MHz,512,0,NVIDIA GeForce GTX 1650Ti,4,15.6, 1920 x 1080,2.3,22290000
76,HP,Intel Core i5-10300H,8 GB,3200 MHz,512,0,NVIDIA GeForce GTX 1650,4,15.6, 1920 x 1080,2.3,22290000
77,Asus,AMD Ryzen 5-4600H,8 GB,3200 MHz,512,0,NVIDIA GeForce GTX 1650Ti,4,15.6, 1920 x 1080,2.3,22190000
78,Lenovo,AMD Ryzen 5-4600H,8 GB,3200 MHz,512,0,NVIDIA GeForce GTX 1650,4,15.6, 1920 x 1080,2.3,21990000
79,Dell,Intel Core i5-10300H,8 GB,2933 MHz,256,1000,NVIDIA GeForce GTX 1650,4,15.6, 1920 x 1080,2.34,21990000
80,Acer,Intel Core i5-9300H,8 GB,2400 MHz,512,0,On board,0,15.6, 1920 x 1080,2.3,21790000
81,HP,Intel Core i5-1035G4,8 GB,3200 MHz,256,0,On board,0,13.3, 1920 x 1080,1.25,21690000
82,HP,Intel Core i5-10210U,8 GB,2400 MHz,512,0,On board,0,13.3, 1920 x 1080,1.17,21390000
83,MSI,Intel Core i5-10300H,8 GB,2666 MHz,512,0,NVIDIA GeForce GTX 1650 ,4,15.6, 1920 x 1080,1.86,21190000
84,Asus,Intel Core i5-1135G7,8 GB,3200 MHz,256,0,On board,0,13.3, 1920 x 1080,1.1,21190000
85,Asus,Intel Core i5-1035G1,8 GB,2666 MHz,512,0,NVIDIA GeForce MX350,2,15.6, 1920 x 1080,1.8,20990000
86,Dell,Intel Core i5-10210U,8 GB,2666 MHz,512,0,NVIDIA GeForce MX230,2,14, 1920 x 1080,1.12,20590000
87,MSI,Intel Core i5-9300H,8 GB,2666 MHz,512,0,NVIDIA GeForce GTX 1650Ti,4,15.6, 1920 x 1080,1.86,20490000
88,Asus,Intel Core i5-9300H,8 GB,2666 MHz,512,0,NVIDIA GeForce GTX 1650,4,15.6, 1920 x 1080,2.2,19990000
89,MSI,Intel Core i5-10300H,8 GB,2666 MHz,512,0,NVIDIA GeForce GTX 1650,4,15.6, 1920 x 1080,1.86,19990000
90,ACER,AMD Ryzen 7-3750H,8 GB,2666 MHz,512,0,NVIDIA GeForce GTX 1650,4,15.6, 1920 x 1080,2.1,19990000
91,Acer,AMD Ryzen 7-3750H,8 GB,2666 MHz,512,0,NVIDIA GeForce GTX 1650Ti,4,15.6, 1920 x 1080,2.1,19790000
92,Dell,Intel Core i5-1135G7,8 GB,3200 MHz,256,0,NVIDIA GeForce MX330,2,14, 1920 x 1080,1.4,19690000
93,HP,AMD Ryzen 5-3550H,8 GB,2400 MHz,128,1000,NVIDIA GeForce GTX 1650,4,15.6, 1920 x 1080,1.98,19590000
94,HP,AMD Ryzen 5-4600H,8 GB,3200 MHz,128,1000,NVIDIA GeForce GTX 1650,4,15.6, 1920 x 1080,1.98,19590000
95,MSI,AMD Ryzen 5-4600H,8 GB,3200 MHz,512,0,AMD Radeon RX 5300M,3,15.6, 1920 x 1080,1.96,19490000
96,Asus,AMD Ryzen 7-3750H,8 GB,2400 MHz,512,0,NVIDIA GeForce GTX 1650,4,15.6, 1920 x 1080,2.2,19090000
97,Asus,AMD Ryzen 7-4700U,8 GB,3200 MHz,1000,0,On board,0,14, 1920 x 1080,1.45,19090000
98,Asus,Intel Core i5-1135G7,8 GB,3200 MHz,512,0,On board,0,14, 1920 x 1080,1.4,18990000
99,MacBook,Intel Core i5-5000U,8 GB,1600 MHz,128,0,On board,0,13.3, 1440 x 900,1.35,18990000
100,Acer,AMD Ryzen 5-3550H,8 GB,2666 MHz,512,0,NVIDIA GeForce GTX 1650Ti,4,15.6, 1920 x 1080,2.1,18790000
101,Dell,Intel Core i5-1135G7,8 GB,3200 MHz,256,0,On board,0,15.6, 1920 x 1080,1.7,18690000
102,MSI,AMD Ryzen 5-4600H,8 GB,3200 MHz,256,0,On board,0,15.6, 1920 x 1080,1.96,18690000
103,MTXT,Intel Core i5-9300H,8 GB,2666 MHz,512,0,NVIDIA GeForce GTX 1650 ,4,15.6, 1920 x 1080,1.86,18690000
104,HP,Intel Core i5-1035G1,8 GB,2666 MHz,512,0,NVIDIA GeForce MX250,2,15.6, 1920 x 1080,1.761,18190000
105,Dell,Intel Core i5-1135G7,8 GB,3200 MHz,256,0,On board,0,14, 1920 x 1080,1.4,18190000
106,ASUS,AMD Ryzen 5-3550H,8 GB,2400 MHz,512,0,NVIDIA GeForce GTX 1650,4,15.6, 1920 x 1080,2.14,18090000
107,Asus,Intel Core i5-10210U,8 GB,2400 MHz,512,0,NVIDIA GeForce MX250,2,15.6, 1920 x 1080,1.7,18090000
108,HP,Intel Core i7-1165G7,8 GB,2666 MHz,512,0,On board,0,15.6, 1366 x 768,1.91,18090000
109,Dell,Intel Core i5-8265U,4 GB,2400 MHz,0,1000,NVIDIA GeForce MX130,2,15.6, 1920 x 1080,1.95,17990000
110,MSI,Intel Core i5-1135G7,8 GB,3200 MHz,512,0,On board,0,14, 1920 x 1080,1.3,17990000
111,Lenovo,AMD Ryzen 7-4700H,8 GB,3200 MHz,512,0,On board,0,14, 1920 x 1080,1.5,17990000
112,Lenovo,Intel Core i5-10210U,8 GB,2666 MHz,512,0,On board,0,14, 1920 x 1080,1.77,17990000
113,HP,Intel Core i5-10210U,8 GB,2666 MHz,512,0,On board,0,14, 1920 x 1080,1.6,17590000
114,Lenovo,Intel Core i5-1035G1,8 GB,2666 MHz,512,0,AMD Radeon 630,2,15.6, 1920 x 1080,1.8,17490000
115,HP,Intel Core i5-1035G1,8 GB,2666 MHz,512,0,On board,0,15.6, 1920 x 1080,1.706,17290000
116,Lenovo,Intel Core i5-1035G1,8 GB,3200 MHz,512,0,On board,0,15.6, 1920 x 1080,1.66,17190000
117,Lenovo,Intel Core i5-1035G1,8 GB,2666 MHz,512,0,On board,0,15.6, 1920 x 1080,2,16990000
118,Asus,Intel Core i5-10210U,8 GB,2400 MHz,512,0,On board,0,14, 1920 x 1080,1.5,16990000
119,Asus,Intel Core i5-1135G7,8 GB,2666 MHz,512,0,On board,0,14, 1920 x 1080,1.35,16890000
120,HP,Intel Core i5-1135G7,8 GB,2666 MHz,512,0,On board,0,15.6, 1366 x 768,1.91,16190000
121,Lenovo,Intel Core i5-1035G1,8 GB,3200 MHz,256,0,On board,0,15.6, 1920 x 1080,1.66,16190000
122,Asus,Intel Core i5-1035G1,4 GB,2666 MHz,512,0,NVIDIA GeForce MX330,2,15.6, 1920 x 1080,1.78,16090000
123,Dell,Intel Core i5-10210U,8 GB,2666 MHz,256,0,AMD Radeon 610,2,15.6, 1920 x 1080,2.17,16090000
124,Dell,AMD Ryzen 7-3700U,8 GB,2400 MHz,512,0,On board,0,14, 1920 x 1080,1.7,16090000
125,Lenovo,Intel Core i5-1135G7,8 GB,3200 MHz,512,0,On board,0,15.6, 1920 x 1080,1.66,15990000
126,HP,Intel Core i5-1035G1,4 GB,2666 MHz,256,0,NVIDIA GeForce MX250,2,15.6, 1920 x 1080,1.755,15990000
